Timestamp,Date,Time,Emotion,Score
1770231997.6019268,2026-02-05,00:36:37,neutral,0.3365
1770231997.6174998,2026-02-05,00:36:37,neutral,0.4380
1770231997.738623,2026-02-05,00:36:37,neutral,0.4634
1770231997.7831345,2026-02-05,00:36:37,fear,0.2801
1770231997.8254602,2026-02-05,00:36:37,neutral,0.7675
1770231997.8665817,2026-02-05,00:36:37,fear,0.2323
1770231997.880477,2026-02-05,00:36:37,neutral,0.4518
1770231997.9120667,2026-02-05,00:36:37,neutral,0.8530
1770231998.0540104,2026-02-05,00:36:38,fear,0.2716
1770231998.2353613,2026-02-05,00:36:38,fear,0.2118
1770231998.490074,2026-02-05,00:36:38,neutral,0.8470
1770231998.5111735,2026-02-05,00:36:38,fear,0.2236
1770231998.5583425,2026-02-05,00:36:38,fear,0.3005
1770231998.6044433,2026-02-05,00:36:38,fear,0.2597
1770231998.7609656,2026-02-05,00:36:38,happy,0.4809
1770231998.955167,2026-02-05,00:36:38,fear,0.2626
1770231999.0140846,2026-02-05,00:36:39,fear,0.2705
1770231999.0758154,2026-02-05,00:36:39,fear,0.2852
1770231999.1785889,2026-02-05,00:36:39,fear,0.2581
1770231999.207837,2026-02-05,00:36:39,fear,0.2505
1770231999.3122466,2026-02-05,00:36:39,fear,0.4697
1770231999.5533144,2026-02-05,00:36:39,fear,0.2394
1770231999.7087142,2026-02-05,00:36:39,happy,0.6483
1770232000.0377283,2026-02-05,00:36:40,fear,0.2285
1770232000.2958007,2026-02-05,00:36:40,happy,0.4551
1770232000.4338021,2026-02-05,00:36:40,happy,0.9361
1770232001.1702578,2026-02-05,00:36:41,fear,0.2425
1770232001.4099936,2026-02-05,00:36:41,fear,0.2206
1770232002.0367224,2026-02-05,00:36:42,happy,0.9463
1770232002.4949136,2026-02-05,00:36:42,fear,0.2943
1770232002.5060296,2026-02-05,00:36:42,happy,0.9759
1770232003.1143117,2026-02-05,00:36:43,fear,0.2288
1770232003.1614428,2026-02-05,00:36:43,fear,0.3527
1770232003.4767926,2026-02-05,00:36:43,happy,0.9777
1770232004.1784296,2026-02-05,00:36:44,sad,0.2474
1770232004.4867606,2026-02-05,00:36:44,fear,0.2438
1770232005.122107,2026-02-05,00:36:45,happy,0.9743
1770232005.640014,2026-02-05,00:36:45,fear,0.2274
1770232006.0525346,2026-02-05,00:36:46,fear,0.2664
1770232006.9352636,2026-02-05,00:36:46,fear,0.2498
1770232007.3232822,2026-02-05,00:36:47,fear,0.2746
1770232007.7968428,2026-02-05,00:36:47,fear,0.3226
1770232008.4860997,2026-02-05,00:36:48,fear,0.2591
1770232009.0775232,2026-02-05,00:36:49,sad,0.1933
1770232010.0521288,2026-02-05,00:36:50,fear,0.2468
1770232010.646642,2026-02-05,00:36:50,fear,0.3735
1770232011.69672,2026-02-05,00:36:51,fear,0.2542
1770232011.9599135,2026-02-05,00:36:51,fear,0.2038
1770232012.3222938,2026-02-05,00:36:52,fear,0.2541
1770232013.0074608,2026-02-05,00:36:53,fear,0.2655
